,PID,RA,DEC,EPOC,SUBREGION,NAME,"ATLAS
+GALEX",SDSS,"ATLAS
+ST.LOCUS",Comments
0,STRIPE82,0.0,-0.7,2000,STRIPE82,STRIPE82-0001,1.0,0.0,,ATLAS_GALEX reference only cover half ccd (< 200 ref stars)
1,STRIPE82,0.0,0.7,2000,STRIPE82,STRIPE82-0002,1.0,0.0,,ATLAS_GALEX reference only cover half ccd (< 200 ref stars)
2,STRIPE82,1.4169999999999998,-0.7,2000,STRIPE82,STRIPE82-0003,1.0,0.0,,
3,STRIPE82,1.4169999999999998,0.7,2000,STRIPE82,STRIPE82-0004,1.0,0.0,,
4,STRIPE82,2.833,-0.7,2000,STRIPE82,STRIPE82-0005,1.0,0.0,,
5,STRIPE82,2.833,0.7,2000,STRIPE82,STRIPE82-0006,1.0,0.0,,
6,STRIPE82,4.25,-0.7,2000,STRIPE82,STRIPE82-0007,1.0,0.0,,
7,STRIPE82,4.25,0.7,2000,STRIPE82,STRIPE82-0008,1.0,0.0,,
8,STRIPE82,5.671,-0.7,2000,STRIPE82,STRIPE82-0009,1.0,0.0,,
9,STRIPE82,5.671,0.7,2000,STRIPE82,STRIPE82-0010,1.0,0.0,,
10,STRIPE82,7.087999999999999,-0.7,2000,STRIPE82,STRIPE82-0011,1.0,0.0,,
11,STRIPE82,7.087999999999999,0.7,2000,STRIPE82,STRIPE82-0012,1.0,0.0,,bad FWHM_n
12,STRIPE82,8.504,-0.7,2000,STRIPE82,STRIPE82-0013,1.0,0.0,,
13,STRIPE82,8.504,0.7,2000,STRIPE82,STRIPE82-0014,1.0,0.0,,
14,STRIPE82,9.921,-0.7,2000,STRIPE82,STRIPE82-0015,1.0,0.0,,
15,STRIPE82,9.921,0.7,2000,STRIPE82,STRIPE82-0016,1.0,0.0,,Large number of detections on the left side of CCD
16,STRIPE82,11.338,-0.7,2000,STRIPE82,STRIPE82-0017,1.0,0.0,,
17,STRIPE82,11.338,0.7,2000,STRIPE82,STRIPE82-0018,1.0,0.0,,
18,STRIPE82,12.754000000000001,-0.7,2000,STRIPE82,STRIPE82-0019,1.0,0.0,,
19,STRIPE82,12.754000000000001,0.7,2000,STRIPE82,STRIPE82-0020,1.0,0.0,,Large number of detections on the left side of CCD
20,STRIPE82,14.175,-0.7,2000,STRIPE82,STRIPE82-0021,1.0,0.0,,Large number of horizontal artifacts
21,STRIPE82,14.175,0.7,2000,STRIPE82,STRIPE82-0022,1.0,0.0,,
22,STRIPE82,15.592,-0.7,2000,STRIPE82,STRIPE82-0023,1.0,0.0,,
23,STRIPE82,15.592,0.7,2000,STRIPE82,STRIPE82-0024,1.0,0.0,,
24,STRIPE82,17.008,-0.7,2000,STRIPE82,STRIPE82-0025,1.0,0.0,,
25,STRIPE82,17.008,0.7,2000,STRIPE82,STRIPE82-0026,1.0,0.0,,
26,STRIPE82,18.425,-0.7,2000,STRIPE82,STRIPE82-0027,1.0,0.0,,ATLAS_GALEX partially covered (285 reference stars)
27,STRIPE82,18.425,0.7,2000,STRIPE82,STRIPE82-0028,1.0,0.0,,
28,STRIPE82,19.842,-0.7,2000,STRIPE82,STRIPE82-0029,-1.0,0.0,,
29,STRIPE82,19.842,0.7,2000,STRIPE82,STRIPE82-0030,1.0,0.0,,ATLAS_GALEX partially covered (361 reference stars)
30,STRIPE82,21.258000000000003,-0.7,2000,STRIPE82,STRIPE82-0031,1.0,0.0,,
31,STRIPE82,21.258000000000003,0.7,2000,STRIPE82,STRIPE82-0032,1.0,0.0,,
32,STRIPE82,22.679000000000002,-0.7,2000,STRIPE82,STRIPE82-0033,1.0,0.0,,
33,STRIPE82,22.679000000000002,0.7,2000,STRIPE82,STRIPE82-0034,1.0,0.0,,
34,STRIPE82,24.096,-0.7,2000,STRIPE82,STRIPE82-0035,1.0,0.0,,
35,STRIPE82,24.096,0.7,2000,STRIPE82,STRIPE82-0036,1.0,0.0,,
36,STRIPE82,25.513,-0.7,2000,STRIPE82,STRIPE82-0037,1.0,0.0,,
37,STRIPE82,25.513,0.7,2000,STRIPE82,STRIPE82-0038,1.0,0.0,,
38,STRIPE82,26.929000000000002,-0.7,2000,STRIPE82,STRIPE82-0039,1.0,0.0,,
39,STRIPE82,26.929000000000002,0.7,2000,STRIPE82,STRIPE82-0040,1.0,0.0,,
40,STRIPE82,28.346,-0.7,2000,STRIPE82,STRIPE82-0041,1.0,0.0,,
41,STRIPE82,28.346,0.7,2000,STRIPE82,STRIPE82-0042,1.0,0.0,,
42,STRIPE82,29.763,-0.7,2000,STRIPE82,STRIPE82-0043,1.0,0.0,,ATLAS_GALEX partially covered (407 reference stars)
43,STRIPE82,29.763,0.7,2000,STRIPE82,STRIPE82-0044,1.0,0.0,,ATLAS_GALEX partially covered (325 reference stars)
44,STRIPE82,31.179000000000002,-0.7,2000,STRIPE82,STRIPE82-0045,1.0,0.0,,"ATLAS_GALEX partially covered, only half CCD (276 reference stars)"
45,STRIPE82,31.179000000000002,0.7,2000,STRIPE82,STRIPE82-0046,-1.0,0.0,,
46,STRIPE82,32.6,-0.7,2000,STRIPE82,STRIPE82-0047,1.0,0.0,,Class_star is very bad
47,STRIPE82,32.6,0.7,2000,STRIPE82,STRIPE82-0048,1.0,0.0,,Large number of detections on the left side of CCD. Class_star lightly bad
48,STRIPE82,34.016999999999996,-0.7,2000,STRIPE82,STRIPE82-0049,1.0,0.0,,
49,STRIPE82,34.016999999999996,0.7,2000,STRIPE82,STRIPE82-0050,1.0,0.0,,
50,STRIPE82,35.433,-0.7,2000,STRIPE82,STRIPE82-0051,1.0,0.0,,
51,STRIPE82,35.433,0.7,2000,STRIPE82,STRIPE82-0052,1.0,0.0,,
52,STRIPE82,36.85,-0.7,2000,STRIPE82,STRIPE82-0053,1.0,0.0,,
53,STRIPE82,36.85,0.7,2000,STRIPE82,STRIPE82-0054,1.0,0.0,,Large number of detections on the left side of CCD
54,STRIPE82,38.266999999999996,-0.7,2000,STRIPE82,STRIPE82-0055,1.0,0.0,,"mag_aper - mag_auto with large scatter; Large number of detections on the left side of CCD; ATLAS_GALEX partially covered, only half (253 star); "
55,STRIPE82,38.266999999999996,0.7,2000,STRIPE82,STRIPE82-0056,-1.0,0.0,,
56,STRIPE82,39.683,-0.7,2000,STRIPE82,STRIPE82-0057,-1.0,0.0,,
57,STRIPE82,39.683,0.7,2000,STRIPE82,STRIPE82-0058,-1.0,0.0,,
58,STRIPE82,41.104,-0.7,2000,STRIPE82,STRIPE82-0059,-1.0,0.0,,
59,STRIPE82,41.104,0.7,2000,STRIPE82,STRIPE82-0060,-1.0,0.0,,
60,STRIPE82,42.521,-0.7,2000,STRIPE82,STRIPE82-0061,1.0,0.0,,
61,STRIPE82,42.521,0.7,2000,STRIPE82,STRIPE82-0062,1.0,0.0,,
62,STRIPE82,43.938,-0.7,2000,STRIPE82,STRIPE82-0063,1.0,0.0,,
63,STRIPE82,43.938,0.7,2000,STRIPE82,STRIPE82-0064,1.0,0.0,,Large number of detections on the left side of CCD
64,STRIPE82,45.354,-0.7,2000,STRIPE82,STRIPE82-0065,1.0,0.0,,
65,STRIPE82,45.354,0.7,2000,STRIPE82,STRIPE82-0066,1.0,0.0,,Both SDSS and ATLAS_GALEX: G - I slightly to the right?
66,STRIPE82,46.771,-0.7,2000,STRIPE82,STRIPE82-0067,1.0,0.0,,
67,STRIPE82,46.771,0.7,2000,STRIPE82,STRIPE82-0068,1.0,0.0,,Slightly bad class_star
68,STRIPE82,48.188,-0.7,2000,STRIPE82,STRIPE82-0069,1.0,0.0,,
69,STRIPE82,48.188,0.7,2000,STRIPE82,STRIPE82-0070,1.0,0.0,,mag_aper - mag_auto with larger scatter
70,STRIPE82,49.608000000000004,-0.7,2000,STRIPE82,STRIPE82-0071,1.0,0.0,,
71,STRIPE82,49.608000000000004,0.7,2000,STRIPE82,STRIPE82-0072,1.0,0.0,,ATLAS_GALEX partially covered (318 reference stars); Large number of detections on the left size of CCD
72,STRIPE82,51.025,-0.7,2000,STRIPE82,STRIPE82-0073,-1.0,0.0,,
73,STRIPE82,51.025,0.7,2000,STRIPE82,STRIPE82-0074,1.0,0.0,,ATLAS_GALEX partially covered (386 reference stars) 
74,STRIPE82,52.442,-0.7,2000,STRIPE82,STRIPE82-0075,1.0,0.0,,"ATLAS_GALEX partially covered, only half CCD (285 reference stars) "
75,STRIPE82,52.442,0.7,2000,STRIPE82,STRIPE82-0076,1.0,0.0,,
76,STRIPE82,53.858000000000004,-0.7,2000,STRIPE82,STRIPE82-0077,1.0,0.0,,
77,STRIPE82,53.858000000000004,0.7,2000,STRIPE82,STRIPE82-0078,1.0,0.0,,ATLAS_GALEX partially covered (323 reference stars) 
78,STRIPE82,55.275,-0.7,2000,STRIPE82,STRIPE82-0079,1.0,0.0,,ATLAS_GALEX partially covered (294 reference stars) 
79,STRIPE82,55.275,0.7,2000,STRIPE82,STRIPE82-0080,1.0,0.0,,Large number of line artifacts
80,STRIPE82,56.692,-0.7,2000,STRIPE82,STRIPE82-0081,-1.0,0.0,,
81,STRIPE82,56.692,0.7,2000,STRIPE82,STRIPE82-0082,1.0,0.0,,
82,STRIPE82,58.108000000000004,-0.7,2000,STRIPE82,STRIPE82-0083,-1.0,0.0,,
83,STRIPE82,58.108000000000004,0.7,2000,STRIPE82,STRIPE82-0084,1.0,0.0,,ATLAS_GALEX partially covered (279 reference stars) 
84,STRIPE82,59.528999999999996,-0.7,2000,STRIPE82,STRIPE82-0085,-1.0,0.0,,
85,STRIPE82,59.528999999999996,0.7,2000,STRIPE82,STRIPE82-0086,1.0,0.0,,ATLAS_GALEX partially covered (227 reference stars); Stellar locus seems off for both ATLAS_GALEX and SDSS
86,STRIPE82,300.471,-0.7,2000,STRIPE82,STRIPE82-0087,-1.0,0.0,,SDSS only partially covered (but with 2505 stars)
87,STRIPE82,300.471,0.7,2000,STRIPE82,STRIPE82-0088,-1.0,0.0,,
88,STRIPE82,301.892,-0.7,2000,STRIPE82,STRIPE82-0089,-1.0,0.0,,
89,STRIPE82,301.892,0.7,2000,STRIPE82,STRIPE82-0090,-1.0,0.0,,
90,STRIPE82,303.308,-0.7,2000,STRIPE82,STRIPE82-0091,-1.0,0.0,,
91,STRIPE82,303.308,0.7,2000,STRIPE82,STRIPE82-0092,-1.0,0.0,,
